#####################################################################
# Alchemist log file - simulation started at: 2020-02-21T05:19+0000 #
#####################################################################
# seed = 15.0, speed = 1, meanNeighbors = 3, nodeCount = 2000
#
# The columns have the following meaning: 
# time nodes org:protelis:armonicCentralityHLL[Mean] harmonicCentrality[Mean] msqer@harmonicCentrality[Mean] msqer@harmonicCentrality[Max] msqer@harmonicCentrality[Min] msqer@harmonicCentrality[StandardDeviation] 
0.0 2000.0 NaN NaN 0.0 0.0 0.0 0.0 
0.5 2000.0 0.8877022653721676 7.276440245476019 6.824106912142687 20.409510995540405 0.0 4.758377367549994 
1.0 2000.0 1.8435214285714274 7.26004136334792 5.435653268109824 22.252622785711015 0.0 4.585486145698052 
1.5 2000.0 3.6878738095238095 6.946958385434018 3.423654814005448 16.69170274170274 0.0 3.344595192998433 
2.0 2000.0 4.917797817460319 6.9395708250083254 2.3600230755355756 13.53095238095238 0.0 2.591524697671029 
2.5 2000.0 5.694555176767675 7.056920824760484 2.0163655397676985 13.75714285714286 0.0 2.2215266981171564 
3.0 2000.0 6.178461158286159 7.06782014080952 1.7738895043707954 14.381919469419472 0.0 1.9999363012530664 
3.5 2000.0 6.6050020715395705 6.931039184313541 1.7861593556042004 12.797655122655124 0.0 1.8736034204838976 
4.0 2000.0 6.929160585248085 7.249780095641462 1.98473302465689 14.582383637651283 0.0 2.278816582128629 
4.5 2000.0 7.158977351814852 7.583758164177192 2.03543826687893 16.804031000121654 0.0 2.429906777032227 
5.0 2000.0 7.449474134892886 7.544545630568731 2.23623857506637 18.000897606005964 0.0 2.5225182025322015 
5.5 2000.0 7.653287452743333 7.722111471792767 2.4133516740416217 19.930062013150245 0.0 2.517179283035415 
6.0 2000.0 7.8897581620971895 7.582748196660008 2.2991165759081693 16.51152864593267 0.0 2.469923381538627 
6.5 2000.0 8.102810373385646 7.802981753224307 2.6759183063655514 15.408363599491889 0.0 2.743544069382795 
7.0 2000.0 8.267059351089229 7.593481506117161 2.4190276071824184 14.572305472305471 0.0 2.3340854004584624 
7.5 2000.0 8.362628510107884 7.524010804935631 2.2945010588281014 15.714693639693639 0.0 2.340997588763647 
8.0 2000.0 8.513083756048731 7.275780968338433 2.4564095366963468 16.500094758182996 0.0 2.5705352139274327 
8.5 2000.0 8.599503417856223 7.269826300018575 2.4837289261570565 15.966927516927516 0.0 2.568694596841965 
9.0 2000.0 8.704959438209709 7.395784070405859 2.6688619370653424 18.474275724275724 0.0 2.7725769942410614 
