#####################################################################
# Alchemist log file - simulation started at: 2020-02-19T15:16+0000 #
#####################################################################
# seed = 0.0, speed = 5, meanNeighbors = 5, nodeCount = 200
#
# The columns have the following meaning: 
# time nodes org:protelis:armonicCentralityHLL[Mean] harmonicCentrality[Mean] msqer@harmonicCentrality[Mean] msqer@harmonicCentrality[Max] msqer@harmonicCentrality[Min] msqer@harmonicCentrality[StandardDeviation] 
0.0 200.0 NaN NaN 0.0 0.0 0.0 0.0 
0.5 200.0 1.0207407407407407 18.079951251469996 17.620617918136663 32.04999046062446 0.0 9.204277067111445 
1.0 200.0 2.7185 19.09718821813179 16.39368821813179 31.937419707093284 0.0 8.543635756139848 
1.5 200.0 5.541416666666667 18.81089303095336 13.36314303095336 27.244334667329344 0.0 7.308363560059446 
2.0 200.0 8.517505952380953 20.706029869005782 12.299190583291498 21.956365612742186 0.0 5.257372348025447 
2.5 200.0 10.43644246031746 23.663330856617645 13.380602682014471 24.742659035151288 0.0 5.297208262266829 
3.0 200.0 12.307859487734488 25.423036208571645 13.320514022424458 26.852775204671488 0.0 5.566034433564182 
3.5 200.0 13.858392482517482 24.51421714044259 10.91354291189336 22.384398363074837 0.0 5.178730179083391 
4.0 200.0 15.622199758574759 23.74044232135329 8.410238594524563 21.243448504763958 0.0 4.333246165053627 
4.5 200.0 17.225466838716837 20.88340867016988 4.571630953758617 18.622848089783407 0.0 2.986373499767641 
5.0 200.0 18.681405927405926 22.562610524774787 4.891846256122153 22.199745962671663 0.0 3.9983868723483504 
5.5 200.0 19.655256870172312 18.489916268100714 3.955128025538011 23.544155844155842 0.0 3.659303816433876 
6.0 200.0 20.583206841232382 17.05999867799301 5.110487903639636 23.544155844155842 0.0 4.486120884154079 
6.5 200.0 20.719045551047678 17.665001474903328 5.263729957690005 21.96204628704628 0.0 4.270941584217751 
7.0 200.0 20.7722834043966 19.03428154658379 4.88952824692937 18.080502830502834 0.0 4.159226278466263 
7.5 200.0 21.09435869683722 20.082251716018693 3.7664913686208314 26.3045048905343 0.0 4.233541716950875 
