#####################################################################
# Alchemist log file - simulation started at: 2020-03-17T19:42+0000 #
#####################################################################
# seed = 6.0, speed = 5, meanNeighbors = 3, nodeCount = 5000
#
# The columns have the following meaning: 
# time nodes org:protelis:armonicCentralityHLL[Mean] harmonicCentrality[Mean] msqer@harmonicCentrality[Mean] msqer@harmonicCentrality[Max] msqer@harmonicCentrality[Min] msqer@harmonicCentrality[StandardDeviation] 
0.0 5000.0 NaN NaN 0.0 0.0 0.0 0.0 
0.5 5000.0 0.8131122584061419 7.841874210351191 7.451577543684524 31.875907425907425 0.0 5.814081809758095 
1.0 5000.0 1.8736219047619036 7.277994206772236 5.610276226974256 25.10950993450993 0.0 4.75096217798852 
1.5 5000.0 3.991881904761905 7.152260768925027 4.077011338648185 22.670559995559998 0.0 3.7083577324301302 
2.0 5000.0 5.855746587301589 7.833971077066685 3.938251342828361 25.753182210806052 0.0 3.745844443166717 
2.5 5000.0 7.443589191919192 7.84590157855615 3.9420284120993494 24.119361665565492 0.0 3.4270029294114783 
3.0 5000.0 8.92188867965368 7.361289422925976 4.045438944220945 25.21666666666667 0.0 3.267938336310076 
3.5 5000.0 10.304128573093573 7.500618263397368 4.782822163574546 27.979761904761894 0.0 3.856211783602973 
4.0 5000.0 11.556568115218116 7.506663505813369 5.8812454752474155 34.41428571428571 0.0 4.745429944438735 
4.5 5000.0 12.772773709068709 7.282489496351034 6.973400270956912 38.734523809523814 0.0 5.458454758522358 
5.0 5000.0 14.02070803196803 6.838778679901496 8.213543637090263 40.240476190476194 0.0 6.208711926824534 
5.5 5000.0 15.316557204462205 7.1386958169118495 9.284862435876772 42.02619047619048 0.0 6.685423065739859 
6.0 5000.0 16.52129658534276 7.06574198148823 10.465328052696158 45.921284271284264 0.0 7.402977485463385 
6.5 5000.0 17.891227434945517 7.467906533581436 11.525888272196951 45.4484126984127 0.0 7.86667937824953 
7.0 5000.0 19.327597741978526 7.595875068407452 12.887747946982035 47.22040737040737 0.0 8.577403377755791 
7.5 5000.0 20.558450758331794 7.07791523768508 14.461213753007197 52.03371350871351 0.0 9.478387904501933 
8.0 5000.0 21.989726555426 7.307884413028747 15.67452400804263 50.200380175380175 0.0 10.045939603397223 
8.5 5000.0 23.28337882067193 7.10192084565689 17.036806360994596 49.65839993339993 0.0 10.569568302635153 
9.0 5000.0 24.604482208335664 6.953068394324195 18.48547412688814 59.331842993607694 0.0 11.370567613119446 
9.5 5000.0 25.97974410904201 7.271251401714063 19.604289023650473 61.20894268270428 0.0 11.954933810372083 
10.0 5000.0 27.125575314967445 7.404152112694235 20.681990022142426 66.19857984292969 0.0 12.635748388483897 
10.5 5000.0 28.095538570290184 7.852164520418474 21.30071569875874 59.88683392201194 0.0 12.748646347315658 
11.0 5000.0 28.941608224581543 7.244174877562619 22.634518352058944 67.94874823748664 0.0 13.779925415344113 
11.5 5000.0 29.849864529448126 7.625719278733299 23.24783592199727 70.96923144365094 0.0 14.137465958824192 
12.0 5000.0 30.844670054081753 7.211365990059488 24.52082408875977 77.12737872292824 0.0 15.141431810526175 
12.5 5000.0 31.67870240675454 7.010884162699727 25.662294758933268 78.48405125501468 0.0 15.95673416558517 
13.0 5000.0 32.659968719342075 7.076597582749737 26.559025287464202 83.80116270292876 0.0 16.746471563773344 
13.5 5000.0 33.609595970599436 6.8002006944837925 27.70016458522997 87.3380619989484 0.0 17.692162214617067 
14.0 5000.0 34.26971823235248 7.340676371163027 27.959910279945802 86.50954466078036 0.0 18.084887856750854 
