#####################################################################
# Alchemist log file - simulation started at: 2020-03-17T17:13+0000 #
#####################################################################
# seed = 9.0, speed = 1, meanNeighbors = 2, nodeCount = 50
#
# The columns have the following meaning: 
# time nodes org:protelis:armonicCentralityHLL[Mean] harmonicCentrality[Mean] msqer@harmonicCentrality[Mean] msqer@harmonicCentrality[Max] msqer@harmonicCentrality[Min] msqer@harmonicCentrality[StandardDeviation] 
0.0 50.0 NaN NaN 0.0 0.0 0.0 0.0 
0.5 50.0 0.17391304347826086 2.1 2.02 7.0 0.0 2.020204071324459 
1.0 50.0 0.8266666666666668 2.1 1.2733333333333334 6.0 0.0 1.5469815536837026 
1.5 50.0 1.41 2.1 0.69 4.5 0.0 1.0988604693343735 
2.0 50.0 1.9966666666666666 2.2146666666666666 0.23800000000000007 2.0833333333333335 0.0 0.5303278411017277 
2.5 50.0 2.1133333333333333 2.2146666666666666 0.1413333333333334 2.0833333333333335 0.0 0.3803006329584154 
3.0 50.0 2.12 2.3113333333333332 0.21133333333333335 2.4166666666666665 0.0 0.5074215643731844 
3.5 50.0 2.214 2.271333333333333 0.13733333333333336 2.4166666666666665 0.0 0.40342299559976097 
4.0 50.0 2.2346666666666666 2.271333333333333 0.11666666666666667 2.4166666666666665 0.0 0.39626945183555323 
4.5 50.0 2.273 2.271333333333333 0.038333333333333344 1.0 0.0 0.15722400502182254 
5.0 50.0 2.2663333333333333 2.271333333333333 0.004999999999999997 0.25 0.0 0.035355339059327334 
5.5 50.0 2.271333333333333 2.2213333333333334 0.05000000000000003 1.25 0.0 0.19121879052629773 
6.0 50.0 2.2546666666666666 2.2533333333333334 0.06533333333333335 1.25 0.0 0.2178237028720241 
6.5 50.0 2.2346666666666666 2.2933333333333334 0.06533333333333333 1.0 0.0 0.2248668036084459 
7.0 50.0 2.231333333333333 2.2933333333333334 0.062000000000000006 1.0 0.0 0.22519933221265312 
7.5 50.0 2.224 1.8733333333333333 0.35600000000000004 3.5 0.0 0.6899485668825688 
8.0 50.0 2.1566666666666667 1.9333333333333333 0.3433333333333333 2.25 0.0 0.5534472466959102 
8.5 50.0 2.075 1.9066666666666665 0.22833333333333333 1.5 0.0 0.3722251835940004 
9.0 50.0 1.9883333333333333 1.9066666666666665 0.14166666666666666 1.0 0.0 0.2772813023536217 
9.5 50.0 1.9566666666666666 1.9466666666666665 0.11 1.0 0.0 0.2653667295155648 
10.0 50.0 1.9066666666666665 1.9666666666666666 0.05999999999999997 1.0 0.0 0.2175935173103975 
10.5 50.0 1.9366666666666668 1.9666666666666666 0.029999999999999992 1.0 0.0 0.15681784571500093 
11.0 50.0 1.9566666666666666 1.9266666666666667 0.049999999999999996 1.0 0.0 0.20824828195876063 
11.5 50.0 1.9266666666666667 1.9266666666666667 0.03999999999999997 1.0 0.0 0.19794866372215755 
12.0 50.0 1.9066666666666665 1.9266666666666667 0.019999999999999987 1.0 0.0 0.14142135623730934 
12.5 50.0 1.9366666666666668 1.9466666666666665 0.009999999999999993 0.5 0.0 0.07071067811865467 
13.0 50.0 1.9366666666666668 1.92 0.03666666666666667 0.6666666666666665 0.0 0.13590212564600318 
13.5 50.0 1.9466666666666665 1.92 0.026666666666666675 0.6666666666666665 0.0 0.11837907518720049 
14.0 50.0 1.9233333333333333 1.8866666666666667 0.08333333333333336 1.0 0.0 0.24105305632519758 
