#####################################################################
<<<<<<< HEAD
# Alchemist log file - simulation started at: 2020-09-16T15:44+0000 #
=======
# Alchemist log file - simulation started at: 2020-09-16T12:37+0000 #
>>>>>>> 78924d21d0b7204abe0b4659dbd7d51811d4c31f
#####################################################################
# seed = 47.0, nodeCount = 200, grain = 4, deploymentType = Lobster
#
# The columns have the following meaning: 
# time leader-random[CountDistinct] HopCountClusterClosestNeighborDistance[leader-random] HopCountClusterIntraDistance[leader-random] leader-pageRank[CountDistinct] HopCountClusterClosestNeighborDistance[leader-pageRank] HopCountClusterIntraDistance[leader-pageRank] leader-harmonic[CountDistinct] HopCountClusterClosestNeighborDistance[leader-harmonic] HopCountClusterIntraDistance[leader-harmonic] leader-closeness[CountDistinct] HopCountClusterClosestNeighborDistance[leader-closeness] HopCountClusterIntraDistance[leader-closeness] leader-degree[CountDistinct] HopCountClusterClosestNeighborDistance[leader-degree] HopCountClusterIntraDistance[leader-degree] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
<<<<<<< HEAD
1.015925996498124 120.0 Infinity 0.21833333333333335 154.0 Infinity 0.06096256684491979 163.0 Infinity 0.05194274028629857 91.0 Infinity 0.36143935429649715 153.0 Infinity 0.07279892349096502 
2.015925996498124 60.0 Infinity 0.49880796763149704 53.0 Infinity 0.586820640205768 44.0 Infinity 0.7891683739611548 75.0 Infinity 0.26799813258636784 47.0 Infinity 0.6238574791766281 
3.015925996498124 75.0 Infinity 0.21373583780560523 26.0 Infinity NaN 20.0 Infinity NaN 108.0 Infinity 0.22511475150364038 58.0 Infinity NaN 
4.015925996498124 79.0 Infinity 0.24788293592385435 38.0 Infinity NaN 19.0 Infinity NaN 82.0 Infinity 0.38974172846124067 92.0 Infinity NaN 
5.015925996498124 72.0 Infinity 0.29513081395348834 56.0 Infinity 0.22842477570738443 42.0 Infinity NaN 82.0 Infinity 0.38974172846124067 93.0 Infinity 0.13377494806602083 
6.015925996498124 72.0 Infinity 0.29513081395348834 103.0 Infinity NaN 86.0 Infinity NaN 82.0 Infinity 0.38974172846124067 74.0 Infinity 0.2283900051341912 
7.015925996498124 72.0 Infinity 0.29513081395348834 88.0 Infinity 0.16220913072128718 81.0 Infinity 0.1744694132334582 82.0 Infinity 0.38974172846124067 71.0 Infinity 0.2415614138018331 
8.015925996498124 72.0 Infinity 0.29513081395348834 72.0 Infinity 0.2358915793508817 52.0 Infinity 0.4036759510776365 82.0 Infinity 0.38974172846124067 71.0 Infinity 0.2415614138018331 
9.015925996498124 72.0 Infinity 0.29513081395348834 71.0 Infinity 0.2415614138018331 44.0 Infinity NaN 82.0 Infinity 0.38974172846124067 71.0 Infinity 0.2415614138018331 
10.015925996498124 72.0 Infinity 0.29513081395348834 71.0 Infinity 0.2415614138018331 43.0 Infinity 0.30313060574226697 82.0 Infinity 0.38974172846124067 71.0 Infinity 0.2415614138018331 
11.015925996498124 72.0 Infinity 0.29513081395348834 71.0 Infinity 0.2415614138018331 42.0 Infinity 0.32225276302184475 82.0 Infinity 0.38974172846124067 71.0 Infinity 0.2415614138018331 
12.015925996498124 72.0 Infinity 0.29513081395348834 71.0 Infinity 0.2415614138018331 42.0 Infinity 0.32225276302184475 82.0 Infinity 0.38974172846124067 71.0 Infinity 0.2415614138018331 
13.015925996498124 72.0 Infinity 0.29513081395348834 71.0 Infinity 0.2415614138018331 42.0 Infinity 0.32225276302184475 82.0 Infinity 0.38974172846124067 71.0 Infinity 0.2415614138018331 
14.015925996498124 72.0 Infinity 0.29513081395348834 71.0 Infinity 0.2415614138018331 42.0 Infinity 0.32225276302184475 82.0 Infinity 0.38974172846124067 71.0 Infinity 0.2415614138018331 
15.015925996498124 72.0 Infinity 0.29513081395348834 71.0 Infinity 0.2415614138018331 42.0 Infinity 0.32225276302184475 82.0 Infinity 0.38974172846124067 71.0 Infinity 0.2415614138018331 
16.015925996498126 72.0 Infinity 0.29513081395348834 71.0 Infinity 0.2415614138018331 42.0 Infinity 0.32225276302184475 82.0 Infinity 0.38974172846124067 71.0 Infinity 0.2415614138018331 
17.015925996498126 72.0 Infinity 0.29513081395348834 71.0 Infinity 0.2415614138018331 42.0 Infinity 0.32225276302184475 82.0 Infinity 0.38974172846124067 71.0 Infinity 0.2415614138018331 
18.015925996498126 72.0 Infinity 0.29513081395348834 71.0 Infinity 0.2415614138018331 42.0 Infinity 0.32225276302184475 82.0 Infinity 0.38974172846124067 71.0 Infinity 0.2415614138018331 
19.015925996498126 72.0 Infinity 0.29513081395348834 71.0 Infinity 0.2415614138018331 42.0 Infinity 0.32225276302184475 82.0 Infinity 0.38974172846124067 71.0 Infinity 0.2415614138018331 
20.015925996498126 72.0 Infinity 0.29513081395348834 71.0 Infinity 0.2415614138018331 42.0 Infinity 0.32225276302184475 82.0 Infinity 0.38974172846124067 71.0 Infinity 0.2415614138018331 
21.015925996498126 72.0 Infinity 0.29513081395348834 71.0 Infinity 0.2415614138018331 42.0 Infinity 0.32225276302184475 82.0 Infinity 0.38974172846124067 71.0 Infinity 0.2415614138018331 
22.015925996498126 72.0 Infinity 0.29513081395348834 71.0 Infinity 0.2415614138018331 42.0 Infinity 0.32225276302184475 82.0 Infinity 0.38974172846124067 71.0 Infinity 0.2415614138018331 
23.015925996498126 72.0 Infinity 0.29513081395348834 71.0 Infinity 0.2415614138018331 42.0 Infinity 0.32225276302184475 82.0 Infinity 0.38974172846124067 71.0 Infinity 0.2415614138018331 
