#####################################################################
# Alchemist log file - simulation started at: 2020-03-17T15:48+0000 #
#####################################################################
# seed = 18.0, speed = 2, meanNeighbors = 7, nodeCount = 200
#
# The columns have the following meaning: 
# time nodes org:protelis:armonicCentralityHLL[Mean] harmonicCentrality[Mean] msqer@harmonicCentrality[Mean] msqer@harmonicCentrality[Max] msqer@harmonicCentrality[Min] msqer@harmonicCentrality[StandardDeviation] 
0.0 200.0 NaN NaN 0.0 0.0 0.0 0.0 
0.5 200.0 1.74625468164794 35.952494169701986 35.175410836368656 48.246212121212125 19.682439533290925 6.481046661872249 
1.0 200.0 4.592583333333333 35.358186452307585 30.76560311897425 46.46174658674658 18.57147352131873 6.1677044516658555 
1.5 200.0 9.389035714285715 36.2621882801581 26.87315256587238 41.23073038073039 16.88923353907874 5.754171524631921 
2.0 200.0 15.703384920634921 37.35157962084355 21.64819470020863 33.16554834054834 10.63965478965478 4.795926315771264 
2.5 200.0 19.579481421356423 37.15567112003064 17.57618969867422 31.33697691197691 6.03647186147186 4.518378066623747 
3.0 200.0 24.314306221556222 35.94230228960066 11.918555591853966 29.768983793983793 0.3333333333333335 4.8519316917323305 
3.5 200.0 27.783678488178488 36.089996042657035 8.865737523398515 23.76828449328449 0.5687257187257089 4.334909909106557 
4.0 200.0 30.8255004995005 35.790659613434386 5.552954901479671 18.466458541458536 0.07546620046622365 4.0558085679052285 
4.5 200.0 32.935998543123546 34.83881193836264 3.5800124019427435 13.444344217873635 0.0 3.042016710723863 
5.0 200.0 34.74853422394599 35.95691082756253 2.8546422897278156 10.724625374625372 0.0 2.4301090232936295 
5.5 200.0 35.68578439779175 36.268666920841454 2.249869918823866 12.447743351419824 0.0 2.0106807585116315 
6.0 200.0 36.61448498901769 36.12926064351026 1.9425167013713847 7.8462816981779895 0.0 1.5302798786591196 
6.5 200.0 37.22899697876942 36.99994151514121 2.2757151271930662 25.545421245421245 0.0018398268398271966 3.3734149365624466 
7.0 200.0 37.939291684193 35.53373437342671 2.585083827893811 10.506031223678281 0.0 1.646934544531103 
7.5 200.0 38.011286854614255 34.77849820334912 3.2770443022189206 10.863731856378916 0.0 1.9095953696234171 
8.0 200.0 37.89810893503211 34.09354417909008 3.817172643152864 8.140078102152405 0.0 1.7316999148096026 
8.5 200.0 37.7087799993694 34.25978805711384 3.5046242921038497 10.003969230579475 0.0 1.8850474821527592 
9.0 200.0 37.53376195450576 33.5227775836953 4.016683895528948 12.612975878610555 0.0 1.8165794291960882 
9.5 200.0 37.339286988166634 35.31132635816607 3.1838907545285946 24.476100593592854 0.03506534315358323 3.221460915933684 
10.0 200.0 37.150710723336694 35.028202408569804 3.0335757995267087 20.970434549111022 0.02082084582085031 3.161647546346578 
10.5 200.0 37.249428427437714 35.49928140661406 2.4359171652389278 19.62752604722419 0.0037712287712352577 2.626339039799457 
11.0 200.0 37.14233581049584 34.88496694164109 3.0991450118294153 19.62752604722419 0.014399489399483656 2.806179322645152 
11.5 200.0 37.25742177567874 34.732461159110926 2.872086309845983 17.099538318578567 0.0 2.007915816453151 
12.0 200.0 37.09810560206478 34.40182410153523 2.7541194850854023 17.099538318578567 0.0 1.6726490095228466 
12.5 200.0 36.84375244844595 34.87623753145756 2.5773304590314776 24.18243328738685 0.06404877801936948 2.4107776565261916 
13.0 200.0 36.74249530378032 32.19316219770941 5.003618962886956 23.736005661005663 0.22668932374814688 4.673019095397367 
