#####################################################################
# Alchemist log file - simulation started at: 2020-03-17T19:55+0000 #
#####################################################################
# seed = 14.0, speed = 10, meanNeighbors = 2, nodeCount = 10
#
# The columns have the following meaning: 
# time nodes org:protelis:armonicCentralityHLL[Mean] harmonicCentrality[Mean] msqer@harmonicCentrality[Mean] msqer@harmonicCentrality[Max] msqer@harmonicCentrality[Min] msqer@harmonicCentrality[StandardDeviation] 
0.0 10.0 NaN NaN 0.0 0.0 0.0 0.0 
0.5 10.0 0.2 2.4333333333333336 2.3333333333333335 3.5 0.0 1.1706281947614157 
1.0 10.0 1.0833333333333333 1.9666666666666668 0.9833333333333334 3.5 0.0 1.179689224612426 
1.5 10.0 1.8333333333333333 1.9666666666666668 0.5333333333333333 1.5 0.0 0.53748384988657 
2.0 10.0 2.033333333333333 2.8066666666666666 0.7733333333333333 2.0833333333333335 0.0 0.6965169075256794 
2.5 10.0 2.2916666666666665 2.966666666666667 0.6749999999999999 1.6666666666666665 0.0 0.6797898186431333 
3.0 10.0 2.4416666666666664 2.756666666666667 0.4483333333333334 1.5333333333333332 0.0 0.48006236734742064 
3.5 10.0 2.586666666666667 2.6566666666666667 0.23000000000000004 0.833333333333333 0.0 0.29812169194789656 
4.0 10.0 2.4983333333333335 1.7 0.7983333333333333 1.833333333333333 0.0 0.6610620896857973 
4.5 10.0 2.3933333333333335 1.7 0.6933333333333334 1.833333333333333 0.0 0.6527813238674369 
5.0 10.0 2.185 1.7 0.48500000000000015 1.1166666666666667 0.0 0.5237831282430725 
5.5 10.0 1.8866666666666667 1.7 0.1866666666666667 1.0833333333333335 0.0 0.3998302108781479 
6.0 10.0 1.7 1.4 0.3 1.5 0.0 0.5374838498865699 
6.5 10.0 1.6 1.4 0.2 1.5 0.0 0.48304589153964794 
7.0 10.0 1.55 1.4 0.15 1.5 0.0 0.47434164902525694 
7.5 10.0 1.4 1.4 0.0 0.0 0.0 0.0 
8.0 10.0 1.4 1.4 0.0 0.0 0.0 0.0 
8.5 10.0 1.4 2.283333333333333 0.8833333333333333 3.0 0.0 1.0680546525064814 
9.0 10.0 1.6 2.283333333333333 0.6833333333333332 3.0 0.0 0.9467292624062574 
9.5 10.0 1.95 2.283333333333333 0.3333333333333333 1.083333333333333 0.0 0.44617717789469474 
10.0 10.0 2.1666666666666665 1.8666666666666667 0.3666666666666667 1.5 0.0 0.5140014891653502 
10.5 10.0 2.0166666666666666 1.8666666666666667 0.21666666666666673 1.0000000000000002 0.0 0.3337959752399956 
11.0 10.0 2.0083333333333333 1.4666666666666666 0.5416666666666666 2.0 0.0 0.5869596280309844 
11.5 10.0 1.7583333333333333 1.4666666666666666 0.29166666666666663 1.0 0.0 0.32215037513175565 
12.0 10.0 1.6416666666666666 1.3666666666666667 0.27499999999999997 1.0 0.0 0.41583249832915503 
12.5 10.0 1.5416666666666667 1.3666666666666667 0.175 1.0 0.0 0.33437337746231466 
13.0 10.0 1.3666666666666667 1.0666666666666667 0.3 1.5 0.0 0.5374838498865699 
13.5 10.0 1.2666666666666666 1.0666666666666667 0.19999999999999998 1.5 0.0 0.48304589153964794 
14.0 10.0 1.0666666666666667 1.2666666666666666 0.20000000000000004 1.0 0.0 0.4216370213557839 
14.5 10.0 1.1666666666666667 1.0666666666666667 0.10000000000000002 1.0 0.0 0.31622776601683794 
15.0 10.0 1.1666666666666667 1.2666666666666666 0.1 1.0 0.0 0.31622776601683794 
15.5 10.0 1.1666666666666667 1.2666666666666666 0.1 1.0 0.0 0.31622776601683794 
16.0 10.0 1.2666666666666666 1.2666666666666666 0.0 0.0 0.0 0.0 
16.5 10.0 1.2666666666666666 1.2666666666666666 0.0 0.0 0.0 0.0 
17.0 10.0 1.2666666666666666 1.5666666666666667 0.3 1.5 0.0 0.5374838498865699 
17.5 10.0 1.4166666666666667 1.5666666666666667 0.14999999999999997 1.0 0.0 0.3374742788552764 
18.0 10.0 1.5166666666666666 1.5666666666666667 0.05 0.5 0.0 0.15811388300841897 
18.5 10.0 1.5666666666666667 1.1 0.4666666666666667 1.5 0.0 0.642141478968884 
19.0 10.0 1.4166666666666667 1.1 0.31666666666666665 1.5 0.0 0.5412035056870025 
19.5 10.0 1.2666666666666666 1.1 0.16666666666666666 0.8333333333333333 0.0 0.35136418446315326 
20.0 10.0 1.1 1.5666666666666667 0.4666666666666667 1.5 0.0 0.642141478968884 
20.5 10.0 1.1 1.5666666666666667 0.4666666666666667 1.5 0.0 0.642141478968884 
21.0 10.0 1.4833333333333334 1.7 0.21666666666666667 1.5 0.0 0.4782297603701632 
21.5 10.0 1.5666666666666667 1.7 0.13333333333333336 0.6666666666666667 0.0 0.2459549291242073 
22.0 10.0 1.6333333333333333 1.7 0.06666666666666668 0.6666666666666667 0.0 0.21081851067789203 
22.5 10.0 1.7 1.7 0.0 0.0 0.0 0.0 
23.0 10.0 1.7 0.8 0.9 2.0 0.0 0.7378647873726218 
23.5 10.0 1.55 0.8 0.75 2.0 0.0 0.754615428178118 
24.0 10.0 1.0833333333333333 0.8 0.2833333333333333 1.5 0.0 0.5155004759849798 
24.5 10.0 0.8833333333333333 1.2666666666666666 0.3833333333333333 1.5 0.0 0.6433419688539593 
25.0 10.0 1.0333333333333332 0.6 0.4333333333333333 1.5 0.0 0.5837300238472755 
25.5 10.0 1.2166666666666666 0.9 0.7166666666666667 1.8333333333333333 0.0 0.7202965781494641 
26.0 10.0 0.9333333333333333 0.9 0.33333333333333337 1.8333333333333333 0.0 0.7071067811865474 
26.5 10.0 0.9 1.4 0.5 2.0 0.0 0.7071067811865476 
27.0 10.0 1.15 1.3 0.15 1.0 0.0 0.3374742788552764 
27.5 10.0 1.25 1.3 0.05 0.5 0.0 0.15811388300841897 
28.0 10.0 1.25 1.3 0.05 0.5 0.0 0.15811388300841897 
28.5 10.0 1.3 1.3 0.0 0.0 0.0 0.0 
29.0 10.0 1.3 1.3 0.0 0.0 0.0 0.0 
29.5 10.0 1.3 1.3 0.0 0.0 0.0 0.0 
30.0 10.0 1.3 1.3 0.0 0.0 0.0 0.0 
30.5 10.0 1.3 0.9 0.4 2.0 0.0 0.6582805886043834 
31.0 10.0 1.0 0.7 0.3 1.0 0.0 0.4216370213557839 
31.5 10.0 0.9 0.9 0.4 1.0 0.0 0.45946829173634074 
32.0 10.0 0.85 0.9 0.15 1.0 0.0 0.3374742788552764 
32.5 10.0 0.9 0.9 0.0 0.0 0.0 0.0 
33.0 10.0 0.9 0.9 0.0 0.0 0.0 0.0 
33.5 10.0 0.9 0.9 0.0 0.0 0.0 0.0 
34.0 10.0 0.9 0.9 0.0 0.0 0.0 0.0 
34.5 10.0 0.9 0.9 0.0 0.0 0.0 0.0 
35.0 10.0 0.9 1.0 0.10000000000000002 0.5 0.0 0.21081851067789195 
35.5 10.0 0.95 1.0 0.05000000000000001 0.5 0.0 0.15811388300841897 
36.0 10.0 1.0 1.0 0.0 0.0 0.0 0.0 
36.5 10.0 1.0 1.0 0.0 0.0 0.0 0.0 
37.0 10.0 1.0 1.0 0.0 0.0 0.0 0.0 
37.5 10.0 1.0 1.0 0.0 0.0 0.0 0.0 
38.0 10.0 1.0 1.0 0.0 0.0 0.0 0.0 
38.5 10.0 1.0 0.8 0.20000000000000004 1.0 0.0 0.4216370213557839 
39.0 10.0 0.9 0.4 0.5 2.0 0.0 0.7071067811865476 
39.5 10.0 0.55 0.2 0.3499999999999999 2.0 0.0 0.747217059048663 
40.0 10.0 0.35000000000000003 0.2 0.15 1.5 0.0 0.4743416490252569 
40.5 10.0 0.2 0.2 0.0 0.0 0.0 0.0 
41.0 10.0 0.2 0.2 0.0 0.0 0.0 0.0 
41.5 10.0 0.2 0.2 0.0 0.0 0.0 0.0 
42.0 10.0 0.2 0.2 0.0 0.0 0.0 0.0 
42.5 10.0 0.2 0.2 0.0 0.0 0.0 0.0 
43.0 10.0 0.2 0.2 0.0 0.0 0.0 0.0 
43.5 10.0 0.2 0.2 0.0 0.0 0.0 0.0 
44.0 10.0 0.2 0.2 0.0 0.0 0.0 0.0 
44.5 10.0 0.2 0.2 0.0 0.0 0.0 0.0 
45.0 10.0 0.2 0.2 0.0 0.0 0.0 0.0 
45.5 10.0 0.2 0.2 0.0 0.0 0.0 0.0 
46.0 10.0 0.2 0.5 0.3 1.5 0.0 0.5374838498865699 
46.5 10.0 0.4 0.6 0.2 1.0 0.0 0.42163702135578396 
47.0 10.0 0.5 0.7999999999999999 0.3 1.0 0.0 0.4830458915396479 
