#####################################################################
# Alchemist log file - simulation started at: 2020-03-18T15:19+0000 #
#####################################################################
# seed = 40.0, diameter = 200
#
# The columns have the following meaning: 
# time error-central[Sum] error-extreme[Sum] error-random[Sum] error-pageRank[Sum] error-harmonic[Sum] error-closeness[Sum] error-degree[Sum] 
0.0 NaN NaN NaN NaN NaN NaN NaN 
1.0005639395244215 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2.0005639395244215 29.30408905628322 1.1187577950430674 27.842033561118672 31.951408576791188 63.16301447756718 18.191603632118845 49.00509696766774 
3.0005639395244215 22.236647373351385 0.8600124406689449 19.745379935774885 27.179600588276916 135.1954653252709 17.240454633504115 25.702088599907277 
4.0005639395244215 23.432710817583352 3.6876320857831573 27.047455621656397 23.406767339345837 154.07833847138585 22.59754929479665 22.522580838276905 
5.0005639395244215 12.885247660123593 4.679656744119756 18.896799102546012 23.311533718933646 137.23525508055295 15.519871921655643 22.734670008374245 
6.0005639395244215 20.219090941922637 2.4306383286264377 15.413986590186619 15.416280282119736 107.3580953670764 16.63729990387638 16.84491007005083 
7.0005639395244215 20.211449730852355 3.687632085783157 16.376276465295977 16.339812917811127 55.37241514020949 11.55019433924225 23.008400469577825 
8.000563939524422 13.754908294024448 2.9157487608902066 13.633669526540483 12.733105914387425 35.19237722266177 21.785857733775014 27.265472285492233 
9.000563939524422 15.09967630079196 3.272317093692738 12.693374784136472 10.517354456740739 15.150857242794379 18.903542301379296 20.54790335259061 
10.000563939524422 11.328398028420928 4.5156437783659875 11.330727821871255 6.625575063726649 10.717946769108774 14.23708563210623 24.997421793005856 
11.000563939524422 10.590596421919019 10.773811662786498 12.732955343902503 14.50061092171815 20.485011847474414 7.154575044561606 35.16951733943469 
12.000563939524422 14.414776096378487 5.625416509948109 20.165208832430054 8.07560609366356 16.373581640177047 9.509771951733818 19.198200313117162 
13.000563939524422 12.099556522301489 5.310096922777224 14.468640148217137 9.049905787458334 15.736469885451172 7.7800472892567365 18.092693734045838 
14.000563939524422 21.64046707101148 5.6053930690219165 10.153002250417785 11.519186779333936 6.669432709528323 7.897298594502384 15.988706181996063 
15.000563939524422 13.631648680204512 5.6053930690219165 14.480032460767916 12.140941512165025 14.832067709245422 8.355190086273737 16.07869317755472 
16.000563939524422 9.550578468400635 5.6053930690219165 15.624363811443684 11.447596665468238 15.239902255421692 19.39421482155235 17.711883672144324 
17.000563939524422 12.42383644198624 5.605393069021915 12.324223460268179 12.91726728736895 8.159177238828303 11.290719989309828 11.707101206135668 
18.000563939524422 23.71815088085054 6.313104330478286 22.88600172746667 22.168964073776337 22.205541607643713 16.066940984935357 12.821506104548003 
19.000563939524422 13.812668768593582 6.319611454923489 13.46920142818612 11.960158077486696 12.919881779045038 11.739988703577207 15.177480177730061 
20.000563939524422 19.618032280552494 7.50453716106227 12.754402547650894 14.16627210322691 10.418579971383553 13.625786633975348 14.117065764999595 
21.000563939524422 13.472451670835607 7.3396389196113425 15.305008118878009 29.913835240936326 14.35450789470988 14.379493445895493 14.746598163382638 
22.000563939524422 14.787517540625256 21.816527681973454 15.288827399601775 15.647313710315212 10.649260448184311 14.645805205153977 14.756172457436492 
23.000563939524422 15.86358632198461 9.448322936569664 7.65770849545196 16.752238488902805 14.871442976212075 15.540880426566384 15.650903129913972 
24.000563939524422 16.235333272052177 9.843627405374061 8.08842933400111 16.64731371031521 13.871442976212075 15.94832932047691 16.192341684434545 
25.000563939524422 9.109397901078989 8.146207522398957 10.195025796960135 18.647029531856667 14.344625447398986 17.053254099064503 16.192341684434545 
26.000563939524422 25.634413003140665 10.845714378935197 9.809301888635265 18.628193894074354 14.356374436390514 33.704487758732505 17.20697140895728 
27.000563939524422 9.955867779891385 10.448322936569664 9.0978274527898 18.881749003361012 19.962701658877776 18.55478378629192 17.822839713081763 
28.000563939524422 9.955867779891385 10.052024023975726 10.786109729597175 19.72056595933366 16.598737248026996 19.236371794277133 9.810898143026634 
29.000563939524422 9.955867779891385 11.448322936569664 20.78610972959717 20.210147118271284 17.289352919345475 19.412842224351838 10.07296702730632 
30.000563939524422 9.955867779891385 12.845714378935199 10.48073440237188 20.791142277898373 34.2458891272114 20.245863303182126 10.07296702730632 
